id	bloque	titulo	cuerpo	enlace
2.1	RESCATE FISCAL Y RECUPERACIÓN DE FONDOS PÚBLICOS	Puesta en marcha de una reforma fiscal	"Pondremos en marcha de forma inmediata una reforma fiscal progresiva y una lucha 
decidida contra el fraude fiscal, con el fin de elevar a lo largo de los cuatro años 
de legislatura el porcentaje de ingresos sobre el PIB, al menos entre 30 000 y 40 000 
millones de euros, con lo que acortaremos la diferencia con la media europea."	http://lasonrisadeunpais.es/fb-share/rescate/es/2.1.html
2.2	RESCATE FISCAL Y RECUPERACIÓN DE FONDOS PÚBLICOS	Plan integral de lucha contra el fraude	"Pondremos en marcha el plan integral de lucha contra el fraude,
especialmente en lo referente a:

-  Constitución de una comisión de expertos contra el fraude fiscal
que proponga medidas de contención de la volatilidad fiscal, la
evasión, la erosión de bases y el traslado de beneficios.
-  Aprobación de un paquete de medidas contra los paraísos fiscales en el que se 
aborden los siguientes aspectos: 
medidas para conocer los titulares de las cuentas bancarias en paraísos fiscales, 
medidas sobre transparencia financiera, medidas de supervisión y control, 
y medidas sancionadoras. Estas medidas se desarrollarán con especial atención 
para el caso de los grupos multinacionales.

Eliminación de pantallas tributarias. Se revisará la fiscalidad de las
sicav, las socimi, las sociedades de capital riesgo y las Entidades de
Tenencia de Valores Extranjeros (ETVE) para velar por la inversión
productiva y la equidad fiscal. Se revisará la redacción de los convenios 
con el fin de evitar la doble imposición para incorporar normas
Antielusión."	http://lasonrisadeunpais.es/fb-share/rescate/es/2.2.html
2.3	RESCATE FISCAL Y RECUPERACIÓN DE FONDOS PÚBLICOS	Ampliación a diez años del plazo de prescripción de los delitos fiscales	"Tipificación del delito fiscal a partir de los 50 000 euros defraudados. 
Rebajaremos y homogeneizaremos la cuantía para considerar
objetivamente la comisión de un presunto delito fiscal con las establecidas 
respecto a las defraudaciones a los presupuestos de la
Unión Europea y a la Seguridad Social en 50 000 euros, para lo cual
ampliaremos el plazo de prescripción a diez años y aplicaremos las
penas previstas actualmente para el tipo agravado cuando el importe 
de lo defraudado supere los 120 000 euros."	http://lasonrisadeunpais.es/fb-share/rescate/es/2.3.html
2.4	RESCATE FISCAL Y RECUPERACIÓN DE FONDOS PÚBLICOS	Puesta en marcha de una auditoría de la deuda en sede parlamentaria	"Pondremos en marcha una auditoría de la deuda, y prestaremos un
cuidado especial al auditar la deuda contraída como consecuencia
del rescate financiero de la UE para, con ello, poder arrojar luz sobre
el proceso de crecimiento y recomposición interna de la deuda que
ha experimentado nuestro país en los últimos años.

La posibilidad de esta auditoría está contemplada en la propia legislación europea: 
el Reglamento 472 / 2013 del Parlamento
Europeo y del Consejo, de 21 de mayo de 2013, plantea expresamente que 
«un Estado miembro sometido a un programa de ajuste macroeconómico efectuará una 
auditoría exhaustiva de sus finanzas
públicas a fin, entre otras cosas, de evaluar las razones por las que
se ha incurrido en niveles excesivos de endeudamiento y de detectar
cualquier posible irregularidad»."	http://lasonrisadeunpais.es/fb-share/rescate/es/2.4.html
2.5	RESCATE FISCAL Y RECUPERACIÓN DE FONDOS PÚBLICOS	Reestructuración de la deuda pública y creación del «impuesto de solidaridad» de la banca para pagar el rescate financiero	"Reestructuraremos la deuda pública vinculada a las ayudas públicas
al sector financiero, el memorando de entendimiento y el rescate
de la Unión Europea. En la devolución de los 60 000 millones de euros 
prestados por el Mecanismo Europeo de Estabilidad (MEDE) a
España en 2012 para rescatar al sistema financiero, participarán las
propias instituciones financieras, una vez que se hayan recapitalizado y 
hayan recibido otras ayudas para garantizar su estabilidad.

Estas deben ser las que, en última instancia, salden dicho préstamo
con la Unión Europea, préstamo adelantado hasta el momento por
los contribuyentes españoles.

La reestructuración de esta deuda se centrará no tanto en una reducción de los 
plazos de amortización o de los tipos de interés acordados, sino en una 
redefinición de los pagadores últimos de la factura.

Las entidades financieras soportarán un «impuesto de solidaridad»
transitorio para canalizar la devolución de los fondos prestados."	http://lasonrisadeunpais.es/fb-share/rescate/es/2.5.html
3.1	PLAN 25 DE EMERGENCIA CIUDADANA	Puesta en marcha del Plan de Renta Garantizada	"**a. Renta Garantizada:** Crearemos un programa de renta diferencial 
(complementaria de los ingresos existentes) para todos los hogares con 
ingresos por debajo del umbral de pobreza
monetaria, para lo que aumentaremos la cuantía de la prestación básica por persona equivalente integrada en la unidad
de convivencia. La cuantía inicial se establecerá en 600 euros
mensuales para las unidades de convivencia de un solo miembro, y aumentará progresivamente en función del número de
miembros (35 % adicional de la renta garantizada para el segundo miembro, y 20 % por cada uno de los siguientes) hasta
un máximo de 1290 euros. Este plan integrará todas las prestaciones sociales que se encuentren por debajo de ese umbral.

**b. Renta Complementaria:** Estableceremos un complemento para
trabajadores con baja remuneración para eliminar la discriminación que 
supone la «trampa de la pobreza» y, asimismo, para
garantizar el acceso de estos trabajadores a niveles suficientes
de bienestar. Para aquellos beneficiarios de la Renta Garantizada
que trabajen o encuentren empleo supondría, de hecho, una retirada graduada 
(y no súbita) de la prestación conforme vayan aumentando sus ingresos salariales.

Lo anterior supondrá garantizar unos ingresos mínimos de 900 euros mensuales para estos
trabajadores, que también se incrementarán con el número de
miembros de la unidad de convivencia. Este complemento solo
será efectivo a partir de unos ingresos reconocidos del trabajo por
encima de 250 euros, para evitar posibles situaciones de fraude."	http://lasonrisadeunpais.es/fb-share/rescate/es/3.1.html
3.2	PLAN 25 DE EMERGENCIA CIUDADANA	Salario digno	"Incrementaremos de forma gradual el salario mínimo interprofesional (SMI) 
hasta alcanzar los 800 euros al mes en 14 pagas al final
de los dos primeros años de legislatura, para asegurar posteriormente 
la convergencia con el 60 % del salario medio que establece
la Carta Social Europea. De este modo, al final de la legislatura dicho
salario se situará en un mínimo de 950 euros al mes."	http://lasonrisadeunpais.es/fb-share/rescate/es/3.2.html
3.3	PLAN 25 DE EMERGENCIA CIUDADANA	Vivienda	"1.  Prohibición de los desalojos forzosos sin alternativa habitacional. En ningún caso se podrá realizar el desalojo o desahucio de personas en situación de vulnerabilidad, ya sea por impago de alquiler u ocupación en precario motivada por la falta
de vivienda, sin que la administración competente garantice
un realojo adecuado.
2.  Despenalización del uso de viviendas vacías y abandonadas.
3.  Limitación de la responsabilidad del deudor hipotecario al
bien hipotecado
4.  Derecho a la dación en pago con carácter retroactivo.
5.  Declaración de inembargabilidad e inejecutabilidad de la primera y única vivienda, 
de ocupación permanente. Todo inmueble destinado a ser vivienda única y de ocupación 
permanente se declarará como un bien inembargable e inejecutable,
salvo en caso de renuncia expresa del titular. 
En caso de fallecimiento del titular del inmueble, la inembargabilidad e
inejecutabilidad afectará a los familiares con ocupación permanente en dicho inmueble y que no tengan alternativa
bitacional. Se entenderá por familiares aquellos con ascendencia o descendencia directa del antiguo titular fallecido."	http://lasonrisadeunpais.es/fb-share/rescate/es/3.3.html
3.4	PLAN 25 DE EMERGENCIA CIUDADANA	Proceso simplificado de reestructuración y cancelación de la deuda hipotecaria de los hogares	"Llevaremos a cabo la reestructuración de la deuda hipotecaria de los
hogares, mediante una reducción en el valor nominal de las hipotecas de primeras viviendas 
en el caso de las familias que cumplan
ciertos criterios sociales, como el hecho de que todos sus miembros
estén en paro y no cuenten con ningún otro ingreso o que presentan ingresos inferiores 
a tres veces el Indicador Público de Renta de
Efectos Múltiples (IPREM).

Impulsaremos esta reestructuración con un verdadero régimen
de segunda oportunidad para personas físicas y jurídicas que realmente las
libere de las deudas pasadas una vez que la situación de
quiebra sea efectiva. Para lograrlo, implantaremos un proceso simplificado de reestructuración y cancelación de deudas, como procedimiento sencillo y accesible, que constará de dos fases:

-  Fase de conciliación ante una comisión de endeudamiento
(similar a los servicios de conciliación laboral) para presentar
propuesta a los acreedores
-  Fase vista judicial, en la que el juez acordará un plan de pagos
a partir de la limitación de la deuda hipotecaria al bien hipotecado, 
con opción de quita o dación en pago. Con la quita se
ajustará la deuda al valor del bien hipotecado, mientras que
la dación en pago implicará la adjudicación del inmueble al
acreedor hipotecario a cambio de la cancelación completa de
la deuda.

Se cancelarán las deudas derivadas de los procedimientos de ejecución anteriores. 
Las deudas que podrán incluirse en este procedimiento serán tanto créditos privados como públicos (con la
Seguridad Social y con Hacienda); y este procedimiento será válido
asimismo para autónomos y pequeñas empresas.

A partir de lo anterior se regulará la dación en pago retroactiva,
por la cual se cancelarán las deudas hipotecarias vivas de aquellas
personas que hayan perdido su vivienda ante la imposibilidad de
seguir pagando los préstamos."	http://lasonrisadeunpais.es/fb-share/rescate/es/3.4.html
3.5	PLAN 25 DE EMERGENCIA CIUDADANA	Rescate energético	"Consideraremos el acceso a la energía como un servicio público, independientemente de que sea gestionada por instituciones públicas o privadas, y garantizaremos por ley el acceso a un suministro
mínimo:

1.  No se procederá al corte de suministro de electricidad o gas
cuando se trate de la vivienda habitual del suministrado y cuando el 
impago de la factura sea debido a motivos ajenos a su voluntad y, 
en particular, por pobreza sobrevenida.
2.  Se establecerá un mínimo vital de electricidad y gas mensual
por hogar. Una vez constatada una situación de pobreza, el
pago de ese suministro mínimo vital no podrá suponer más
del 10 % de los ingresos mensuales del hogar. Los servicios
sociales determinarán la cantidad exacta que cada hogar en
situación de pobreza ha de pagar por el suministro mínimo.
3.  El consumidor tendrá derecho a las mismas condiciones de
acceso al suministro durante el periodo de un año, un derecho que se 
podrá ampliar anualmente y de manera indefinida
mientras la situación de pobreza persista.
4.  Las compañías suministradoras no podrán repercutir la correspondiente 
caída de sus ingresos al resto de consumidores o exigírsela al Estado.
5.  Derogaremos el Real Decreto 900 / 2015, de 9 de octubre, sobre 
autoconsumo eléctrico y aprobaremos una normativa que
permita su desarrollo, con las siguientes características básicas:

La energía autoconsumida instantáneamente queda libre de cualquier tipo de imposición.

La energía vertida al sistema eléctrico será justamente retribuida
por parte de la empresa comercializadora (mediante la cancelación
de la cantidad de kilovatio hora consumida de la red o por medio de
un saldo económico)."	http://lasonrisadeunpais.es/fb-share/rescate/es/3.5.html
3.6	PLAN 25 DE EMERGENCIA CIUDADANA	El agua: un derecho humano	"Aplicaremos distintas medidas para la detección y erradicación de
la pobreza hídrica y reconoceremos el agua como un derecho humano. 
Al ser el agua un derecho, garantizaremos una dotación mínima
para cada ciudadana y ciudadano, de modo que se cubran sus necesidades básicas.

Revisaremos los proyectos de construcción de las grandes infraestructuras 
hidráulicas (presas y trasvases) y desarrollaremos
unos sistemas alternativos de abastecimiento para los momentos
de escasez. En las cuencas beneficiarias de esos trasvases, 
la gestión de la demanda agraria, urbana e industrial, y la optimización de
los recursos no convencionales (reutilización de aguas residuales y
desalación marina) constituyen piezas clave en esa transición hacia
horizontes más sostenibles.

Pondremos en marcha un ambicioso programa de inversiones
públicas con el fin de dotar a todas las poblaciones de sistemas de
tratamiento de aguas residuales, y de este modo cumpliremos las
obligaciones de la Directiva 91 / 271 de Aguas Residuales y evitaremos 
las sanciones de la Unión Europea derivadas de la dejación de
funciones de los gobiernos anteriores."	http://lasonrisadeunpais.es/fb-share/rescate/es/3.6.html
3.7	PLAN 25 DE EMERGENCIA CIUDADANA	Un centro de servicios sociales por cada veinte mil habitantes	"Garantizaremos la prestación de servicios sociales públicos de
proximidad para toda la ciudadanía. Cualquier ciudadano tendrá
acceso universal y gratuito a un centro de servicios sociales compuesto 
por un trabajador o una trabajadora social, un educador o
una educadora social y un psicólogo o una psicóloga. Promoveremos
la gestión municipal de los equipos de servicios sociales."	http://lasonrisadeunpais.es/fb-share/rescate/es/3.7.html
4.1	PLAN DE RESCATE A AUTÓNOMOS Y PYMES	Cuotas justas para autónomos	"Estableceremos cuotas a la Seguridad Social porcentuales y progresivas 
en función del rendimiento neto para los autónomos
que facturen por encima del salario mínimo y un alta gratuita
para aquellos que lo hagan por debajo del salario mínimo interprofesional.
Estudiaremos la equiparación de las prestaciones del
Régimen Especial de Trabajadores Autónomos (RETA) al Régimen
General de la Seguridad Social. Posibilitaremos el pago trimestral,
en lugar de mensual, de las cotizaciones y solo desde el inicio de
la actividad; e informatizaremos y simplificaremos los trámites.
Analizaremos, igualmente, la posibilidad de desarrollar un régimen de 
cotizaciones a tiempo parcial, de manera que se pueda estar empleado por 
cuenta propia a media jornada."	http://lasonrisadeunpais.es/fb-share/rescate/es/4.1.html
4.2	PLAN DE RESCATE A AUTÓNOMOS Y PYMES	Cero morosidad de las administraciones y grandes empresas con autónomos y pymes	"Interpondremos sanciones reales y efectivas a quienes incumplan
la Ley de Morosidad, que fija en treinta días el plazo máximo para
que las administraciones paguen a sus proveedores y, en el caso del
sector privado, un plazo máximo de sesenta días. En las licitaciones
públicas será necesario justificar el cumplimiento de estos pagos
con las empresas subcontratadas."	http://lasonrisadeunpais.es/fb-share/rescate/es/4.2.html
4.3	PLAN DE RESCATE A AUTÓNOMOS Y PYMES	Autónomo de responsabilidad limitada e inclusión de los autónomos y las pequeñas empresas en el proceso simplificado de reestructuración y cancelación de deudas	"Estudiaremos el desarrollo de la figura del autónomo de responsabilidad 
limitada, de modo que todos los autónomos respondan a las
posibles deudas únicamente con los bienes profesionales que ellos
decidan asociar a su actividad y no con todo su patrimonio (como
ocurre ahora).

Asimismo, se incluirá a los autónomos y las pequeñas empresas
en el procedimiento simplificado de reestructuración y cancelación
de deudas."	http://lasonrisadeunpais.es/fb-share/rescate/es/4.3.html
4.4	PLAN DE RESCATE A AUTÓNOMOS Y PYMES	Banco de proyectos y acompañamiento	"Crearemos un banco de proyectos gestionado por el Servicio Público
de Empleo Estatal (SEPE), que ponga en común proyectos de mecenazgo 
con proyectos de emprendimiento, favoreciendo las fórmulas de la 
economía social (cooperativas y sociedades laborales).

Asimismo, el SEPE ofrecerá un servicio de asesoramiento y 
acompañamiento en la elaboración de proyectos empresariales, así como
en el rescate a pymes en crisis."	http://lasonrisadeunpais.es/fb-share/rescate/es/4.4.html
4.5	PLAN DE RESCATE A AUTÓNOMOS Y PYMES	Promoción de la innovación de empresas y pymes	"Facilitaremos y promoveremos la innovación entre las empresas
españolas, en especial entre las pymes. Para ello, crearemos 
polos de conocimiento y desarrollo económico especializados en áreas
y ámbitos determinados y localizados en diferentes regiones del
Estado.

Estos polos promoverán y facilitarán la interacción de todos los
protagonistas de la cadena productiva, de manera similar a los 
modelos internacionales (Poles en Francia, Fraunhofer Institutes en
Alemania, Catapult en Reino Unido) y nacionales (MCC-Mondragón
Corporación Cooperativa o COVAP en Andalucía)."	http://lasonrisadeunpais.es/fb-share/rescate/es/4.5.html
4.6	PLAN DE RESCATE A AUTÓNOMOS Y PYMES	Inclusión de cláusulas sociales y medioambientales en las licitaciones públicas	"Incluiremos cláusulas sociales y medioambientales en las licitaciones públicas, 
algo que haremos extensibles a las subcontrataciones,
de manera que se prioricen empresas de la economía social, pequeñas empresas 
y autónomos que se comprometan con el empleo de
calidad y el impacto positivo en la comunidad."	http://lasonrisadeunpais.es/fb-share/rescate/es/4.6.html
5.1	PLAN DE ESTÍMULO A LA ACTIVIDAD ARTÍSTICA Y CULTURAL	IVA cultural reducido	"En el marco de un conjunto de medidas de una reforma de la fiscalidad de 
la cultura encaminado a dinamizar y estimular la creación, la
producción, la distribución y el acceso, disminuiremos al tipo reducido 
el impuesto sobre el valor añadido (IVA) de los servicios y productos culturales
actualmente sujetos al tipo normal. Esta reforma
implicará una modificación de la Ley 37 / 1992 del IVA y tendrá como
objeto su armonización con la normativa y jurisprudencia comunitaria."	http://lasonrisadeunpais.es/fb-share/rescate/es/5.1.html
