id	bloque (no traducir)	titulo	cuerpo	enlace
11	Democracia Económica	Gutxieneko hornikuntza legez bermatu	"Gutxieneko hornikuntza bermatuta egoteko, lege organiko bat garatuko dugu. Gure ustez, energia izatea zerbitzu publikoa da, eta hori hala izango da energia erakunde publikoak kudeatzen dutenean edota erakunde pribatuek kudeatzen dutenean. Ez diogu elektrizitaterik edo gasik kenduko inori kontsumitzailearen ohiko etxebizitzan; betiere, faktura ez ordaintzeko arrazoia kontsumitzailearen erantzukizunez haragoko arrazoi batengatik bada, eta bereziki bat-bateko pobrezia egoeran geratzen bada. Gutxieneko elektrizitate eta gas kopuru jakin bat ezarriko dugu etxebizitza bakoitzeko. Pobrezia egoera egiaztatutakoan, gutxieneko kopuru horren kostua ez da izango etxebizitza horretako kideek dituzten diru sarreren %10 baino gehiago. Gizarte Zerbitzuak arduratuko dira pobrezian bizi direnen etxebizitzetan gutxieneko hornikuntzaren truke zenbat ordaindu behar duten zehazteaz. 

Kontsumitzaileak urte betean hornikuntza baldintza berberak izateko eskubidea izango du, eta eskubide hori urtez urte berritu ahal izango du inolako epe mugarik gabe; betiere, pobrezian dagoen bitartean. 

Hornikuntza enpresek kontsumo jaitsierengatik galerak badituzte, ezin izango diete kontsumitzaileei edo Estatuari galeren kostua ordainarazi.
"	http://lasonrisadeunpais.es/fb-share/programa/eu/11.html
12	Democracia Económica	Europar Batzordearen Energia Estrategiaren aurrean proposamen alternatibo bat egin	"Europar Batzordearen Energia Estrategiaren aurrean, proposamen komunitario eta alternatibo bat diseinatuko dugu. Proposamen horrek hiru ezaugarri izango ditu: ez da gas naturala sustatuko, ez da bultzatuko EBren energia lehentasuna gas instalazioak eraikitzea izatea, eta ez da sustatuko nazioarteko legezko egitura sortzea energia korporazio handiak indartzeko eta estatuak ahultzeko (adibide argiena TTIP da, Merkataritza eta Inbertsio Lankidetza Transatlantikoa ingelesez). 
"	http://lasonrisadeunpais.es/fb-share/programa/eu/12.html
13	Democracia Económica	Konpetentziaren trantsizio kostuak identifikatu	"Europar Batasunak adierazpen bat egitea bultzatuko dugu, Konpetentziarako Trantsizioaren Kostuak (KTK) Estatuaren legez kanpoko diru laguntzak direla zehazteko.
"	http://lasonrisadeunpais.es/fb-share/programa/eu/13.html
14	Democracia Económica	Azpiegitura handiak egiterakoan herritarrek parte hartzea eta ikuskaritza egitea	"Jada esleitu diren azpiegitura handien obrak amaitzea bultzatuko dugu (AHT, autopistak, aireportuak, portu nasak). Oraindik esleitu gabe daudenak, berriz, geratu egingo ditugu.

Azpiegitura handiei ikuskaritza egingo diegu, argi gera dadin obra bakoitza egitea nork eta nola erabaki duen eta benetako kostuak zein diren. Hartara, erabaki horien arduradunak nor diren argituko dugu, aurrerantzean halako kasu gehiago ez egoteko: aireportu fantasmak, bidesariak hutsik dituzten autopistak edo Castelloko Castor bezalako proiektuak.

Gainera, azpiegitura handien kontratazioetan gardentasun irizpideak eta herritarrek parte hartzeko neurriak jarriko ditugu martxan. Erabakitze metodoetan aldagai sozialak, ingurumen ezaugarriak eta irizpide ekonomikoak hartuko dira aintzat, eta horrela lortuko dugu proiektuak hiru ezaugarri horien arabera bideragarriak izatea.
"	http://lasonrisadeunpais.es/fb-share/programa/eu/14.html
15	Democracia Económica	Bizikletak, hiriko mugikortasun iraunkorraren oinarri	"Hiri eremuetan eta eremu metropolitarretan txirrindulariek metroa edo aldiko trenak hurbil izatea bultzatuko dugu.

Gainera, garraio publikoen egungo esleipenetarako finantza kudeaketa alternatiboak diseinatuko ditugu. Indarrean dauden kontratuak ikuskatuko ditugu, eginiko akatsak aztertzeko eta lan eta mantenu kontratuak berriro negoziatzeko; hartara, zerbitzuek behar bezalako kalitatea eta segurtasuna izatea bermatuko dugu.

Garraio elektrikoak bultzatuko ditugu, bereziki hiri handietan.
"	http://lasonrisadeunpais.es/fb-share/programa/eu/15.html
16	Democracia Económica	Garraio publikoa erabili ahal izateko bermea	"Pertsona orori mugitzeko eskubidea eta garraio publikoa erabiltzeko aukera ziurtatuko dizkiogu. Horretarako, langabezian edo pobrezia edo gizarte bazterketan egoteko arriskuan daudenei tarifa sistema berezia edo doakoa jarriko diegu.
"	http://lasonrisadeunpais.es/fb-share/programa/eu/16.html
17	Democracia Económica	Ekonomia Produktiborako Hitzarmen Nazionala	"Ekonomia Produktiborako Hitzarmen Nazionala egingo dugu, garapen industrialaren inguruan Gobernuaren, patronalaren eta sindikatuen artean akordioa lortzeko. Akordioak bere baitan hartuko ditu finantza logika eta logika produktiboa. Hortaz, industria lehentasunak inbertsio produktiboa eta epe ertain eta luzean balioa sortzea izango dira, enpresen kudeaketa gehienetan nagusitu den balio erantsiaren maximizatze logikari aurre egiteko. Nolanahi ere, berrindustrializazioa ezin daiteke oinarritu prezioei lotutako lehiakortasunean; izan ere, horren oinarrian lan kostuak murriztea eta etxeetako eskaerari eustea daude, eta horrek kalitatezko enpleguak eta soldata duinak sortzeko gai ez den espezializazioa dakar.
"	http://lasonrisadeunpais.es/fb-share/programa/eu/17.html
18	Democracia Económica	Desindustrializazio prozesua iraultzeko, klusterrak lagundu	"Desindustrializazio prozesua irauliko dugu, eta dibertsifikazio produktiboa bultzatu eta ehun produktibo berritzaile bat sustatuko dugu. Horretarako, enpresa txikien eta ertainen garapenean oinarrituko gara, eta sare industriekin konektaturik dauden eta indartzen ari diren sektoreak identifikatuko ditugu.

Klusterrak, gure ustez, lankidetzarako oinarrizko baliabideak dira, eta, bertan, hainbat eragile sartu beharko lirateke: sektore bateko enpresa dinamikoenak, erakunde publikoak, ikerketa zentroak eta unibertsitateak. Hartara, klusterrak baliabide ezin hobeak dira, praktika onenak hedatzeko, berrikuntza bultzatzeko eta sektoreko enpresen produktibitatea hobetzeko. Horretarako, globalaren eta lokalaren arteko lotura sustatuko dugu, egungo industria klusterrak bultzatuz, eskualdeko garapen plataformekin loturak sortuz eta zenbaitetan dauden praktika onak zabalduz.
"	http://lasonrisadeunpais.es/fb-share/programa/eu/18.html
19	Democracia Económica	Industria dibertsifikazioa handitu eta zerbitzu aurreratu berrien aldeko apustua	"Industria dibertsifikazioa handituko dugu, zerbitzu aurreratuak garatuko baititugu, bai enpresetarako diren zerbitzuak (ikerketa eta garapena, ingeniaritza, diseinua, marketina, mantentze eta konponketa lanak, logistika eta banaketa), bai zerbitzu komertzialak eta finantzarioak, bereziki enpresen arteko harremanez zuzenki arduratzen direnentzat. 
"	http://lasonrisadeunpais.es/fb-share/programa/eu/19.html
20	Democracia Económica	Sektorekako batzorde estrategikoak sortu	"Sektorekako batzorde estrategikoak sortuko ditugu, alor bakoitzean zer-nolako premiak dauden diagnostikatzeko. Eragile guztien arteko elkarrizketaren bidez, sektore bakoitzaren erronka nagusiak gainditzeko proposamenak sustatuko ditugu.
"	http://lasonrisadeunpais.es/fb-share/programa/eu/20.html
21	Democracia Económica	Gaitasun espezifikoen garapenean oinarritutako industria politika bultzatu 	"Bultzatuko dugun industria politikak bi oinarri izango ditu: batetik, gaitasun espezifikoak garatzea aktibo ukiezinen arloan, teknologia eskuragarritasunean, talde kudeaketaren ezagutzan eta langileen parte hartzean eta, bestetik, enpresen zabalkunde geografikoa sustatzea. 
"	http://lasonrisadeunpais.es/fb-share/programa/eu/21.html
22	Democracia Económica	Balio soziala sortzen duten klausula sozialen eta kontratazio publikoaren alde egin	"Lehiaketa publikoetan klausula sozialak modu eraginkorrean ezartzea bultzatuko dugu. Klausula horien bidez konpromisoak lotuko ditugu enplegua sortzeko, tokian tokiko garapena bultzatzeko, gizarte kohesioa handitzeko eta erantzukizun sozial korporatiboa (ESK) lortzeko. Zenbait enpresak kontratazio publikoen lehian dituzten oztopoak eta baldintza diskriminatzaileak kenduko ditugu. Gainera, Europar Batasunaren zuzentarauek baimendutako eta kontratazio publikoen mende ez dauden baimentze sistemak bultzatuko ditugu, gizarte zerbitzu publikoen kudeaketa irabazi asmorik gabeko erakundeen esku egoteko.
"	http://lasonrisadeunpais.es/fb-share/programa/eu/22.html
23	Democracia Económica	Inbertsio funts subirano eta publikoak martxan jarri	"Europako herrialde batzuetan egiten ari diren bezala, inbertsio funts subirano eta publikoak martxan jarriko ditugu, enpresa estrategikoen desnazionalizaziorik edo zatiketarik ez izateko eta putre funtsek ehun produktiboan garrantzitsuak diren enpresen kontrola ez hartzeko.
"	http://lasonrisadeunpais.es/fb-share/programa/eu/23.html
24	Democracia Económica	Sektore estrategikoetan lehia handitu	"Sektore estrategikoetan lehia handituko dugu (energia sektorea, finantzak, telekomunikazioak), eta, horri esker, estatuan jarduera produktiboa merkeagoa izango da, eta gure ehun produktiboaren lehiakortasun egiturazko zorra murriztuko du. Halaber, energia berriztagarriei laguntza ematen hasiko gara berriro, ikerketan eta berrikuntzan oso funtzio garrantzitsua betetzen dutelako.
"	http://lasonrisadeunpais.es/fb-share/programa/eu/24.html
25	Democracia Económica	Telekomunikazio zerbitzuak modernizatu	"Telekomunikazio zerbitzuak modernizatuko ditugu, eta, bereziki, eta araudi egokiekin, merkatua irekiko dugu, zuntz optikoen hedapena bultzatzeko.
"	http://lasonrisadeunpais.es/fb-share/programa/eu/25.html
26	Democracia Económica	Azpiegitura publikoen inbertsioetarako irizpideak aldatu	"Etxebizitzen eraikuntzan eta errepide bidezko garraioan oinarritutako azpiegitura publikoen inbertsio eredua aldatu eta azpiegitura produktiboan eta teknologikoan oinarritutako eredu bat nahi dugu, eredu produktibo bateranzko trantsizioari bidea emateko (energia azpiegiturak eta garraio kolektiboko energia, baita telekomunikazioak eta ur hornikuntza ere, besteak beste).
"	http://lasonrisadeunpais.es/fb-share/programa/eu/26.html
27	Democracia Económica	Intermodalitatea garatu, portuen arteko tren loturak hobetuz	"Intermodalitatea garatuko dugu, portuen arteko tren loturak hobetuz. Estatuko bost portu garrantzitsuenetan mugitzen diren edukiontzien %60 beste herrialde batzuetara joaten dira; hortaz, erronka estrategiko nagusia izango da portu eskaintza logistikoa handitzea, portuen arteko tren loturak hobetuz eta portuak lotune intermodal bihurtuz.
"	http://lasonrisadeunpais.es/fb-share/programa/eu/27.html
28	Democracia Económica	Eraikuntza beste jardun batzuetara bideratu 	"Eraikuntza beste jardun batzuetara bideratuko dugu: birgaitzera, eraikinen efizientzia energetikoa hobetzera, domotikara eta behar sozial berrietara. Helburua saneamendu urbanistikoa hobetzea izango da.
"	http://lasonrisadeunpais.es/fb-share/programa/eu/28.html
29	Democracia Económica	Nekazaritza errenta banatu eta nekazaritza, abeltzaintza eta arrantza sektoreen arautegia moldatu	"Negoziaketa eredua aldatuko dugu, eta Nekazaritza Politika Bateratua (NPB) aplikatuko dugu, nekazaritza errentaren banaketa hobetzeko eta interes publikoa eta ingurumen interesa indartzeko.

Nekazaritza, abeltzaintza eta arrantza sustatzeko arautegiak sortu eta sektore horietara moldatzeko proposamenak bultzatuko ditugu. Horretarako irizpideak dibertsifikazioa, iraunkortasuna, ekonomia soziala eta familia irizpideak izango dira. Gainera, ekoizpen estentsiboa elikagai subiranotasunaren aldeko apustu estrategikora bideratuko dugu.

Arrantzan, araudia egokitu eta berrituko dugu, aurreikusitako (baina oraindik bete gabeko) ingurumen helburuak eta helburu sozialak lortzeko; hartara, arrantza tekniken artean pixkanakako trantsizioak programatzeko eta kuoten banaketaren diseinua hobetzeko aukera izango dugu.
"	http://lasonrisadeunpais.es/fb-share/programa/eu/29.html
30	Democracia Económica	Ikerketa eskura izateko Programa Nazionala	"Bokazio zientifikoa bultzatuko dugu, gazte adimentsuen artean zientzia arloko ikasketak egiten has daitezen sustatzeko. Horretarako, Ikerketa eskura izateko Programa Nazionala jarriko dugu martxan, ikasketen azken urteetan nabarmendu diren graduko ikasleak ikerketa lana ezagutzen eta garatzen has daitezen.

Herrialdeko bikaintasuneko ikerketa zentroekin lankidetza hitzarmenak egingo ditugu, eta zentro bakoitzeko profesionalekin lan egingo dugu.

Programa genero berdintasun irizpideetan oinarrituko da, ikerketa munduan ere emakumezkoen kopurua handitzeko.
"	http://lasonrisadeunpais.es/fb-share/programa/eu/30.html
31	Democracia Económica	Zientzia gizartera hurbildu: Herritarren Berrikuntza Zentroak	"Zientzia eguneroko arlo guztietara hurbiltzeko, bi proposamen ditugu. 

Batetik, Herritarren Berrikuntza Zentroak sortu nahi ditugu, udalerrietan jendartearen eta zientziaren elkarguneak izateko, unibertsitateen eta udalen lankidetzarekin. Lan esparru hauek izango dituzte: zientzia hedatzea, gizarte berrikuntza eta benetako herri zientzia garatzea, jakin-minaren eta egiten jakitearen kultura indartzeko. 

Bestetik, Science Shop sortu nahi dugu, adituen laguntzarekin eta hitzaldien, proiektuen eta ikerlan teknikoen bidez ikerketa sustatzeko, herritarrek arazo zientifiko zehatzekin dituzten zalantzak argitze aldera. 

Horrez gain, baliabide zientifikoen online sare bat garatuko dugu gizarte osoaren mesedetan, familian, gazteen zentroetan, helduen zentroetan eta abarretan egiteko moduko jarduerekin.

Jendartea eta zentroak elkarren artean ere lotuko ditugu: ikastetxeak, unibertsitateak, ikerketa zentroak eta enpresa zientifikoak.

Eskoletako umeek zientzia ekoizpeneko guneetan bisitak egingo dituzte, eta, horrekin lotuta, bisitek gizarterako ze onuragarriak diren nabarmenduko da. Helduen zentroetan ere zabalkunde jarduerak egingo dituzte.
"	http://lasonrisadeunpais.es/fb-share/programa/eu/31.html
32	Democracia Económica	Ikertzailearen karrera egokitzea	"-  Merituan oinarritutako ikerketa karrera diseinatuko dugu, eta epe luzean aurreikusteko moduko lan ibilbidea eskainiko dugu.

-  Ikerketarako Organismo Publikoetarako (IOP) eta unibertsitateetarako karrera bakar bat sortzearen alde gaude, baita kontratatzeko eta ebaluatzeko prozedura eta meritu akademikoa bateratzearen alde ere.

-  Karrera profesional bakarra sortuko dugu, eta bertan sartuko ditugu laborategietako lana eta I+G+iren kudeaketa.

-  Ospitaleko ikerketa karrera bat sortuko dugu, unibertsitateko irakaskuntzatik at eta ospitaleko testuinguruaren berezitasunak onartuko dituena.

-  Ikerketa karreraren diseinuari dagokion soldaten mailaketa berrikusiko dugu, garai bakoitzaren erantzukizunetara eta Europako batez bestekora moldatzeko.

-  Genero berdintasunaren aldeko neurriak hartuko ditugu, ikerketa karreran aurrera egin ahala handitu egiten baitira desberdintasunak.
"	http://lasonrisadeunpais.es/fb-share/programa/eu/32.html
33	Democracia Económica	Ikerketaren online ataria	"Ikerketa publikoa gardenagoa izateko, ikerketaren online ataria sortuko dugu, eta, bertan, hau guztia argitaratuko dugu: proiektuen eskaintza guztiak, eta mota askotako lankidetza hitzarmenak eta deialdiak (ikerketa publikoetako erakundeek eginiko kontratazioak eta enplegu deialdiak barne).

Atariak I+G+b-ko deialdi publiko guztiak jasoko ditu bi urteko egutegi batean. Egutegia derrigorrez bete beharko da, eta Gobernuak, autonomia erkidegoek eta finantza publikoko beste agentziek adostu beharko dute.

Atariak edonork eskuratu ahal izateko datu basea izango du, eta, bertan, ikertzaileen profilak, ikerketa taldeak, unibertsitateak, IOPak eta estatu mailako ikerketa proiektuak egongo dira.

Atarian Zientzia, Teknologia eta Berrikuntzaren Sistemaren (ZTBS) informazio estatistiko osoa argitaratuko du: ikasle kopurua, aurrekontuak, proiektuak eta abar.
"	http://lasonrisadeunpais.es/fb-share/programa/eu/33.html
34	Democracia Económica	Ikertzaile seniorren aldeko apustua	"-  Gobernu zentralaren mendeko doktoratu osteko deialdien kopurua %100 handituko dugu.

-  Estatu mailan, ikertzaile nagusientzat kontratazio mugagabeak eta ebaluagarriak izatea sustatuko dugu.

-  IOPez gain beste zentro batzuetan ere ikertzaileak hartzea bultzatuko dugu; adibidez, unibertsitateetan eta bikaintasuneko beste erakunde publiko batzuetan.

-  Ikertzaileak hartzearekin lotutako ebaluazio ereduak definitu eta ezarriko ditugu.

-  Ikerketen zabalkundea eta eragina hobetuko ditugu.
"	http://lasonrisadeunpais.es/fb-share/programa/eu/34.html
35	Democracia Económica	Kultura zientifikora heltzeko bermea	"Kultura zientifikora heltzea bermatuko dugu, egoera pertsonala, ekonomikoa edo autonomia funtzionala edozein dela ere. Hona hemen neurri zehatzak:

-  Zientzia museoak hilabetean behin dohainik izango dira, ezberdintasun sozialik ez izateko.

-  Ikerketa zentroek, museoek, feriek eta beste ekitaldi zientifikoek dibertsitate funtzionala duten pertsonei egokitutako sartze planak izatea ziurtatuko dugu.

-  Ikerketa zentroetan eta unibertsitateetan jardunaldi irekiak bultzatuko ditugu, adin guztietako pertsonak bertara joan daitezen.

-  Hedabide publikoek eduki kontrastatuak eta egokiak eskainiko dituzte, jendartearen eta komunitate zientifikoarekin harreman estua lortzeko. Gainera, zabalkunde eta eztabaida zientifikoetarako esparruak irekiko dira, ikusleen adinetara moldatuta.
"	http://lasonrisadeunpais.es/fb-share/programa/eu/35.html
36	Democracia Económica	Talentua duten gazteak berreskuratzea: Margarita Comas deialdia	"Zientzia Erreskatatzeko Planaren baitan, talentua duten gazteak berreskuratzeko ohiz kanpoko deialdi bat egingo dugu: Margarita Comas deialdia.

Deialdiari esker, bizitzera etorri eta hemen laborategi berriak sortu ahal izango dituzten ikertzaile gazteak kontratatuko ditugu. Kontratuek lau urteko iraupena izango dute, eta kontratuak bukatutakoan, aukera izango dute lan kontratu mugagabea eskuratzeko, helburuak ebaluatzeko eta lana egonkortzeko prozesu bati esker.

Neurri horrekin eta programan dauden beste neurri batzuekin, ikerketa arloan lanpostu zuzenak sortuko dira. 
"	http://lasonrisadeunpais.es/fb-share/programa/eu/36.html
37	Democracia Económica	Zientzia eta Berrikuntzarako Hitzarmen Nazionala	"Politika zientifikoa eta berrikuntza politika Estatuaren goi mailako gaia dela izan behar da kontuan. Gizarte eragile guztien arteko akordio zabal bat egiten saiatuko gara, ardurak hartzeko eta etorkizunerako hobekuntzak proposatzeko; betiere, modu koordinatuan, adostasunean oinarrituta eta aldaketa politikoetatik harago. 

Akordioa gauzatzean, Zientzia eta Berrikuntzarako Mahaia eratuko da.

Lehentasuna enpresek langileak kontratatzea izango da, eta ez epe motzean etekinak lortzea. Horretarako, bi helburu izango ditugu: batetik, finantza eragileek jarduera zientifikoetarako kredituak errazteko konpromisoa hartzea, eta, bestetik, teknologia eta ikerketa arloetako eragileek konpromisoa hartzea ezagutza partekatzeko.
"	http://lasonrisadeunpais.es/fb-share/programa/eu/37.html
38	Democracia Económica	Enpresetan jarduera berritzaileak indartu	"Enpresen artean, eta bereziki enpresa txiki eta ertainetan, berrikuntza erraztu eta indartuko dugu. Horretarako, ezagutza eta garapen ekonomikoko indarguneak sortuko ditugu Estatuko eskualdeetan, esparru eta arlo jakinetan espezializaturik egongo direnak.

Indarguneek produkzio katearen eragile guztien arteko elkarreragina sustatuko dute. Horren erreferentzia nagusiak nazioartean (Poles Frantzian, Fraunhofer Institutes Alemanian, Catapult Erresuma Batuan) zein estatuan ditugu (MCC-Mondragon Kooperatiba edo COVAP Andaluzian).
"	http://lasonrisadeunpais.es/fb-share/programa/eu/38.html
39	Democracia Económica	Emigratu behar izan duen talentu zientifikoa etxera itzultzeko laguntza 	"-  Balio erantsi handia duten sektoreetan lanpostuak sortzeko politikak jarriko ditugu abian.

-  Emigratu duten zientzialarientzat eta atzerriko zientzialarientzat ikerketa proiektuetan lanpostuak lortzeko deialdiak bultzatuko ditugu, eta mugikortasuna eta nazioartekotzea sustatuko ditugu.

-  Transferentzia teknologikoan eta gizarte berrikuntzan oinarritutako enpresei diru laguntzak emango dizkiegu.

-  Enpresa zientifikoak eta proiektu zientifikoak, teknologikoak eta transferentzia teknologikokoak sortzeko laguntzak emango ditugu, atzerrian dauden ikertzaileentzat lanpostuak eskaintzeko.

-  Laguntzak emango ditugu, atzerriko zientzialarien elkarteen ikerketa eta teknologia proiektuak garatzeko.
"	http://lasonrisadeunpais.es/fb-share/programa/eu/39.html
40	Democracia Económica	Zientzia eta I+G+b-n arduraz inbertitzea	"I+G+b-ko inbertsioak krisi aurreko mailara bueltatuko ditugu, eta I+G+b-ren inbertsioa Europako mailarekin parekatzea izango dugu helburu (BPGaren %2).

Helburua 2017an I+G+b-aren inbertsioa Estatuaren Aurrekontu Orokorraren %2,7 izatea da, eta 2020an %3.

Ziurtatuko dugu I+G+b garatzen duten enpresetarako funts publikoen kredituak hasieran zuten helburua betetzen dutela, ezkutuko diru laguntzak izan ez daitezen. Horretarako, bereziki zainduko dugu I+G+b-ra zuzendutako funtsak %100ean gauzatzea, EAOean agertutakoarekin bat eginez.
"	http://lasonrisadeunpais.es/fb-share/programa/eu/40.html
